;Available since;Garden;Latitude;Link;Listing_status;Longitude;Neighbourhood;Number of bedrooms;Number of rooms;Price;Street;Surface (m²);Total volume (m³);Type;Year built;Zipcode
185;19-04-2018;['No'];52.35247601;https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002358911/warmondstraat;Verkocht onder voorbehoud;4.84966882;Hoofddorppleinbuurt;2;4;425000;Warmondstraat;70;227;Appartement;[];1058KX
186;> 3 maanden;['Yes', 'Gemeenschappelijk'];52.38562796;https://www.pararius.nl/woonhuis-te-koop/amsterdam/PB0002279450/ceramiquelaan;Beschikbaar;4.90141307;Buiksloterham;2;3;911000;Céramiquelaan;113;316;Woonhuis;2011;1031KG
187;> 3 maanden;['No'];52.35710604;https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002321466/eikenweg;Verkocht onder voorbehoud;4.92214313;Oosterparkbuurt;1;2;395000;Eikenweg;49;155;Appartement;2012;1092CB
188;> 3 maanden;['No'];52.35948114;https://www.pararius.nl/opslagruimte-te-koop/amsterdam/PB0002254281/johan-jongkindstraat;Verkocht onder voorbehoud;4.83484512;Overtoomse Veld;[];3;275000;Johan Jongkindstraat;88;292;Opslagruimte;1998;1062DK
189;11-04-2018;['No'];52.3524965;https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002352543/pieter-aertszstraat;Verkocht onder voorbehoud;4.90227373;Diamantbuurt;2;3;625000;Pieter Aertszstraat;92;295;Appartement;1908;1073ST
190;22-05-2018;"['Yes', 'achtertuin;voortuin']";52.38023387;https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002385019/van-der-palmkade;Beschikbaar;4.87275811;Staatsliedenbuurt;2;3;500000;Van der Palmkade;80;289;Appartement;2001;1051RK
191;> 3 maanden;['No'];52.35426074;https://www.pararius.nl/opslagruimte-te-koop/amsterdam/PB0002329111/simon-stevinstraat;Verkocht onder voorbehoud;4.92772135;Frankendael;[];2;535000;Simon Stevinstraat;144;315;Opslagruimte;1906;1097BZ
192;14-03-2018;['No'];52.36126921;https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002330514/wilhelminastraat;Verkocht onder voorbehoud;4.86239323;Helmersbuurt;2;3;699000;Wilhelminastraat;106;321;Appartement;[];1054WB
193;25-05-2018;['No'];52.36424044;https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002387086/makassarstraat;Beschikbaar;4.94033228;Indische Buurt Oost;3;4;495000;Makassarstraat;93;282;Appartement;[];1095TA
194;07-05-2018;['No'];52.35054904;https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002372437/maassluisstraat;Beschikbaar;4.83522047;Westlandgracht;2;3;295000;Maassluisstraat;82;260;Appartement;1960;1062GD
195;> 3 maanden;['No'];52.36170809;https://www.pararius.nl/woonhuis-te-koop/amsterdam/PB0001468388/ruimzicht;Beschikbaar;4.8099333;Osdorp-Oost;[];2;197500;Ruimzicht;56;167;Woonhuis;1966;1068DA
196;> 3 maanden;['No'];52.35111669;https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002270595/hofmeyrstraat;Beschikbaar;4.91670191;Transvaalbuurt;1;2;239000;Hofmeyrstraat;44;109;Appartement;1927;1091NA
197;> 3 maanden;['No'];52.37471731;https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002286685/singel;Verkocht onder voorbehoud;4.89003307;Grachtengordel-West;1;2;495000;Singel;66;185;Appartement;1634;1012VK
198;> 3 maanden;['No'];52.38359949;https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002272171/sara-burgerhartstraat;Verkocht onder voorbehoud;4.84745555;Landlust;2;3;310000;Sara Burgerhartstraat;75;224;Appartement;1950;1055LD
199;> 3 maanden;['No'];52.35769004;https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002385865/nicolaas-anslijnstraat;Beschikbaar;4.80798915;Osdorp-Oost;2;3;239500;Nicolaas Anslijnstraat;81;200;Appartement;1964;1068WP
200;26-04-2018;['Yes', 'achtertuin'];52.37531808;https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002364901/admiraal-de-ruijterweg;Verkocht onder voorbehoud;4.85858504;Landlust;4;5;815000;Admiraal De Ruijterweg;148;519;Appartement;1911;1056GZ
201;> 3 maanden;['No'];52.35476604;https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002278929/frans-van-mierisstraat;Verkocht onder voorbehoud;4.88400354;Duivelseiland;2;5;949000;Frans van Mierisstraat;152;585;Appartement;[];1071RJ
202;01-05-2018;['No'];52.3573426;https://www.pararius.nl/woonhuis-te-koop/amsterdam/PB0002368577/waldenlaan;Verkocht onder voorbehoud;4.92813525;Dapperbuurt;[];3;375000;Waldenlaan;74;192;Woonhuis;2013;1093NH
203;01-06-2018;['No'];52.34705825;https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002380114/stadionweg;Beschikbaar;4.87647409;Stadionbuurt;3;4;769000;Stadionweg;94;192;Appartement;1939;1077ST
204;> 3 maanden;['Yes'];52.3721057;https://www.pararius.nl/overig-te-koop/amsterdam/PB0002321246/nieuwezijds-voorburgwal;Beschikbaar;4.8909434;Burgwallen-Nieuwe Zijde;[];1;245000;Nieuwezijds Voorburgwal;29;125;Overig;1870;1012RK
