;Available since;Coordinates;Garden;Listing_status;Neighbourhood;Number of bedrooms;Number of rooms;Price;Surface (m²);Total volume (m³);Year built;Zipcode;link
380;> 3 maanden;('4.8998212000', '52.3699945100');['N', 'e', 'e'];Beschikbaar;Nieuwmarkt/Lastage;2;3;445.000;68;207;1932;1011HL;"https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002362623/zandstraat
"
381;29-03-2018;('4.8984468200', '52.3454703100');['N', 'e', 'e'];Verkocht onder voorbehoud;Scheldebuurt;3;5;775.000;154;537;1930;1078MT;"https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002341686/biesboschstraat
"
382;> 3 maanden;('4.9499462000', '52.3957781000');['N', 'e', 'e'];Beschikbaar;Nieuwendam-Noord;3;4;450.000;108;212;1986;1024BE;"https://www.pararius.nl/woonhuis-te-koop/amsterdam/PB0002348097/beemsterstraat
"
383;28-03-2018;('4.8689980000', '52.3815117000');['N', 'e', 'e'];Verkocht onder voorbehoud;Staatsliedenbuurt;1;2;430.000;82;242;1915;1051JK;"https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002342204/rochussenstraat
"
384;> 3 maanden;('4.8323858000', '52.3730141900');['N', 'e', 'e'];Beschikbaar;Slotermeer-Zuidwest;3;4;250.000;77;270;1957;1064AE;"https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002360802/burgemeester-cramergracht
"
385;> 3 maanden;('4.8323858000', '52.3730141900');['N', 'e', 'e'];Beschikbaar;Slotermeer-Zuidwest;3;4;250.000;77;270;1957;1064AE;"https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002332183/goeman-borgesiusstraat
"
386;13-03-2018;('4.7950561000', '52.3467148500');['N', 'e', 'e'];Verkocht onder voorbehoud;Middelveldsche Akerpolder en Sloten;3;3;269.000;76;230;2004;1060TN;"https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002323543/p-hans-frankfurthersingel
"
387;13-03-2018;('4.7950561000', '52.3467148500');['N', 'e', 'e'];Verkocht onder voorbehoud;Middelveldsche Akerpolder en Sloten;3;3;269.000;76;230;2004;1060TN;"https://www.pararius.nl/woonhuis-te-koop/amsterdam/PB0002322831/landsmeerderdijk
"
388;13-03-2018;('4.7950561000', '52.3467148500');['N', 'e', 'e'];Verkocht onder voorbehoud;Middelveldsche Akerpolder en Sloten;3;3;269.000;76;230;2004;1060TN;"https://www.pararius.nl/woonhuis-te-koop/amsterdam/PB0002318755/lange-vonder
"
389;18-04-2018;('4.8900874000', '52.3855926500');['N', 'e', 'e'];Verkocht onder voorbehoud;Haarlemmerbuurt;3;4;675.000;115;320;2003;1013KX;"https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002356872/bickerswerf
"
390;05-04-2018;('4.8337726500', '52.3783773800');['N', 'e', 'e'];Bieding;Slotermeer-Noordoost;1;2;197.500;49;149;1953;1063XT;"https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002348560/hermanus-coenradistraat
"
391;10-05-2018;('4.9405467700', '52.3691844800');['N', 'e', 'e'];Verkocht onder voorbehoud;Oostelijk Havengebied;2;3;399.000;85;278;1990;1019HH;"https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002374656/zeeburgerkade
"
392;> 3 maanden;('4.9014130700', '52.3856279600');['Ja', 'Gemeenschappelijk'];Beschikbaar;Buiksloterham;2;3;911.000;113;316;2011;1031KG;"https://www.pararius.nl/woonhuis-te-koop/amsterdam/PB0002279450/ceramiquelaan
"
393;> 3 maanden;('4.7767590200', '52.3667096500');['N', 'e', 'e'];Beschikbaar;Lutkemeer en Ookmeer;4;5;695.000;125;350;1923;1067TJ;"https://www.pararius.nl/woonhuis-te-koop/amsterdam/PB0002373080/lutkemeerweg
"
394;> 3 maanden;('4.7767590200', '52.3667096500');['N', 'e', 'e'];Beschikbaar;Lutkemeer en Ookmeer;4;5;695.000;125;350;1923;1067TJ;"https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002331884/dantestraat
"
395;> 3 maanden;('4.9816295900', '52.3130512400');['Ja'];Beschikbaar;Bijlmer-Oost (E, G, K);2;3;250.000;97;350;2007;1104VA;"https://www.pararius.nl/woonhuis-te-koop/amsterdam/PB0002370908/1e-kekerstraat
"
396;> 3 maanden;('4.9440493600', '52.3610368100');['N', 'e', 'e'];Beschikbaar;Indische Buurt Oost;2;3;250.000;48;170;1926;1095GE;"https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002366523/semarangstraat
"
397;> 3 maanden;('4.9068802400', '52.3730522200');['N', 'e', 'e'];Verkocht onder voorbehoud;Nieuwmarkt/Lastage;2;4;650.000;155;442;1926;1011AV;"https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002362561/prins-hendrikkade
"
398;06-04-2018;('4.7980757000', '52.3514125700');['N', 'e', 'e'];Beschikbaar;Osdorp-Oost;2;3;375.000;88;282;1926;1069SC;"https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002348579/pieter-calandlaan
"
399;11-05-2018;('4.8702398500', '52.3669570300');['N', 'e', 'e'];Beschikbaar;Kinkerbuurt;2;2;295.000;46;124;1895;1053VN;"https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002375467/bilderdijkkade
"
400;01-05-2018;('4.8808967500', '52.3903441500');['N', 'e', 'e'];Beschikbaar;Spaarndammer- en Zeeheldenbuurt;1;2;265.000;51;167;1981;1013RJ;"https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002366836/nova-zemblastraat
"
401;01-05-2018;('4.8808967500', '52.3903441500');['N', 'e', 'e'];Beschikbaar;Spaarndammer- en Zeeheldenbuurt;1;2;265.000;51;167;1981;1013RJ;"https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002306695/nieuwpoortstraat
"
402;04-05-2018;('4.8508553900', '52.3842440800');['Ja', 'achtertuin'];Verkocht onder voorbehoud;Landlust;2;3;275.000;49;177;1936;1055NZ;"https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002371073/doggersbankstraat
"
403;04-05-2018;('4.8508553900', '52.3842440800');['N', 'e', 'e'];Verkocht onder voorbehoud;Landlust;2;3;275.000;49;177;1936;1055NZ;"https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002370705/carnapstraat
"
404;> 3 maanden;('4.9203378200', '52.3668506100');['N', 'e', 'e'];Verkocht onder voorbehoud;Oostelijke Eilanden/Kadijken;2;4;1.100.000;161;610;1936;1018AW;"https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002319467/geschutswerf
"
